Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
526340.0,177840.0,-0.181812,51.485354,1,2,1,1,2005-11-11,6,08:50:00,12,E09000020,3,308,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01002912
527290.0,179210.0,-0.167643,51.497453,1,2,2,1,2005-11-27,1,17:30:00,12,E09000020,3,4,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01002819
525220.0,179380.0,-0.197388,51.499443,1,2,2,1,2005-11-28,2,19:45:00,12,E09000020,3,315,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01002817
526210.0,178900.0,-0.183304,51.494909,1,2,2,1,2005-12-12,2,16:15:00,12,E09000020,3,4,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002835
524240.0,180050.0,-0.211263,51.505681,1,2,1,1,2005-12-03,7,16:30:00,12,E09000020,3,402,3,40,0,-1,-1,0,0,5,1,8,2,0,0,1,1,E01002869
527140.0,178030.0,-0.170228,51.486882,1,2,1,1,2005-12-17,7,01:07:00,12,E09000020,3,3217,6,20,3,2,4,304,0,5,4,1,1,0,0,1,1,E01002914
524250.0,181440.0,-0.21063,51.518171,1,2,1,1,2005-12-08,5,11:05:00,12,E09000020,4,412,6,30,3,4,4,450,0,1,1,1,1,0,0,1,1,E01002878
526390.0,177380.0,-0.181257,51.481209,1,2,2,1,2005-12-10,7,11:29:00,12,E09000020,3,3220,2,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01002843
527000.0,178600.0,-0.172038,51.492036,1,2,1,1,2005-12-16,6,16:20:00,12,E09000020,4,304,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002822
524390.0,180110.0,-0.209082,51.506187,1,2,1,1,2005-12-23,6,19:00:00,12,E09000020,3,402,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01002871
525080.0,180750.0,-0.198918,51.511786,1,2,2,1,2005-11-30,4,11:20:00,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002884
524650.0,179040.0,-0.205715,51.496513,1,2,1,1,2005-12-21,4,21:25:00,12,E09000020,3,315,6,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,E01002814
